type	name	username_or_phone	id
group	Test Group 3		4994190556
bot	Gem Bot None	GembotTelegram_6bot	8477887977
bot	Junction Bot None	junction_bot	374139448
group	Group 2		3384819517
bot	TeleFeed: Auto Forward Bot None	tg_feedbot	990241106
group	$SONIC / DEC 6 / 19:00 UTC	BrimstoneCourt	1967836950
group	DEXTools Community	DEXToolsCommunity	1905521765
group	$SONIC / DEC 6 / 19:00 UTC	WhiteCascade	2327811642
group	Input Group (TEST)		5073616099
group	clank.fun	clankfunchat	2429060006
dm	Telegram None	42777	777000
group	PHOTON LOUNGE (MAIN)		1931571209
group	DVO's Dungeon		2164730164
dm	Andrew None	andreahasani	530867848
bot	userinfobot None	userinfobot	52504489
bot	BotFather None	BotFather	93372553
group	test		5009390284
dm	Nobz None	bignobz	7421901201
bot	Junction Bot Support 🤝 None	junction_support_bot	7598572164
group	testy group		5081125925
channel	Junction Bot Service Channel		3308213692
channel	Gem		3330526096
group	WOJAK SOL (OG)		2674189384
group	Bot x Telefeed		5057560481
group	BUL | Community		2101442448
bot	Combot None	combot	210944655
bot	Bloom Solana None	BloomSolana_bot	7497120111
group	testy 2		5028866612
bot	Safeguard None		5434266369
group	Testy		5006737144
group	BOG Community		2444066827
channel	Brozinkers	brozinkers	1715499315
group	Unofficial Dragonx.win	fa6fB8RULugyZGY0	2434774742
channel	don’t bet the house	dontbetthehouse	1995190991
dm	Promoter Fasco	2348156175998	6972101047
channel	Yak Calls	YakCalls	1979950898
group	Quickscope Chat	QuickscopeChat	2244987769
group	Cabbage cat $CAB on solana	CABonSOL	2002845264
dm	Thomas Crypto	SocialMediaExpertsteam	5600256962
bot	Redacted Systems Bot None	redactedsystemsbot	7984217787
bot	Banana Gun Sniper Bot None	BananaGunSniper_bot	5970795027
bot	Pengu Clash 🐧 None	pengu_clash_bot	7270453672
dm	Frost None	frstcrypto	7543128140
dm	DVO Crypto	dvocrypto	7199688680
dm	Eliana Aalam	ahh222	5244724976
dm	Shenky Studio	shenkystudio	6210618312
dm	None None		7731415295
dm	John CryptoServz None	cryptoman938447	6307806401
dm	Alex Carry None	Alex_Carry_0	6897677512
dm	Jack (𝙈𝙖𝙧𝙠𝙚𝙩𝙚𝙧) None	JackMKTO	7724316904
group	SOLSNIPER PRODUCTION		2290468807
dm	Q None	Qliqk	6601271876
dm	Philippe None	AldousPoser	7104961592
dm	None None		8008065495
dm	None None		7133221084
dm	Unique_Mtech (MARKETING OFFICER) None	Unique_Mtech	5346278701
dm	GREEN ELF 🧝 None	devvvvvvvvyii	2120973258
dm	None None		6074547757
dm	None None		5328420541
dm	None None		6607853314
dm	None None		7277726391
dm	PUFFMAN None	pufftme	6455800042
dm	None None		7317573249
dm	YUANG None	YOUNG_GGE	1507735758
dm	None None		7097155226
dm	None None		7699415992
dm	None None		914733850
dm	OG BuzzMan None	Buzzman_OG	958087247
dm	None None		7091396443
dm	None None		7141361011
dm	thimolabstudio6 None	thimolabstudio6	7126671629
dm	None None		5178224396
dm	Allukazoldy None	Allukazoldy	6619744152
dm	None None		8054997778
dm	None None		7288004399
dm	Owen None	Big0wenMorgan	5256851902
dm	Mooncat.🐳 I DEXT I su DAO (,/‘)‼️NEVER None		7325479010
dm	Asad || Admin OF DCW	Shiekh_Asad	5677444284
dm	None None		7280517838
bot	DexTools channels bot None	dextools_bot	1377271946
dm	None None		7607260180
dm	None None		6426854022
dm	Calayain None	calayain	6357113962
dm	None None		6325770886
dm	None None		7258042825
dm	None None		7304873194
dm	Jeff None	jeffri68	1976048282
dm	None None		6735812098
dm	Natalia | CMO	NataliaCMO	6418925106
dm	None None		6966866434
dm	Michael Anderson	micheal_ander	8034417910
dm	MAYERS None	Martins1_4	1948315027
dm	A REAL DEGIN CREATED BY GOD	mako_1112	7116867792
dm	Mooncat.🐳 | DEXT | suDAO (∫) ‼️NEVER DMs FIRST ‼️	hiuhhhj	6096625749
dm	.... None	PereDextooIs	5680244033
dm	Guillermo DEXT None	guiIIermrodriguez78	7350231215
dm	None None		6570605445
bot	Fren Bot None	The_fren_bot	7365883035
bot	Banana Gun Sell Bot None	BananaGunSell_bot	5991403833
bot	Banana Gun Registration None	BananaGunRegister_bot	6386839665
group	Tron $BULL		2161381717
channel	Saratoshi’s Mind	satoshissecretsz	1916124818
channel	Bull Entrance	trxTronBull	2180140749
group	Pickle Group		4224218907
dm	None None		7477118282
dm	I A	971506005531	6382576757
group	Quickscope Beta Second Batch		2176670643
channel	The Echo Chamber	EchosGroup	2034277965
channel	Quickscope Bot — News	QuickscopeNews	2117381063
bot	Quickscope None	QuickscopeBetaRobot	7235146539
dm	echo None	echonfa	6734774868
bot	🆔 Get Chat_id & User_id None	chatIDrobot	527151835
channel	Conan Community - Portal	conan_community_portal	2061541626
bot	D.PortalGuard None	delugeguardbot	6424683792
dm	Ankh None	OXAnkh	393424694
channel	Pineapple Cat Portal	picaportal	2018003272
channel	BUL | PORTAL	portalbull	2092141899
channel	$ROOST Official Portal	BaseRoostCoin	2116317088
bot	ITC Admin Bot None	ITC_Admin_Bot	1101711632
dm	Riaz Siddiqui	923218295395	1512129140
group	Kandyland x Trailblaze		4138691360
dm	None None		6192753113
channel	AI Signal Portal	aisignal_token	2144178849
